"Is.Non.Annual.","Days","Tuition","School.Type","Parent.Meeting.Flag","MDR.High.Grade","Income.Level","School.Sponsor","SPR.New.Existing","NumberOfMeetingswithParents","DifferenceTraveltoLastMeeting","SchoolGradeTypeHigh","FPP.to.School.enrollment","FPP.to.PAX","SchoolSizeIndicator","Retained.in.2012.","frp.active","cancellation","cancelled.PAX","fpp","trend"
0,4,817,"PUBLIC",1,12,"J",0,"NEW",1,278,"Undefined",0.034444444,0.911764706,"L",1,0.774193548387097,0.125,0.129032258064516,"safe","0"
0,3,688,"PUBLIC",1,8,"D",0,"NEW",1,224,"Undefined",0.022,0.916666667,"L",1,0.636363636363636,0,0,"safe","0"
0,5,1729,"CHD",0,11,"L",0,"NEW",0,263,"High",0.09478673,0.952380952,"S",0,0.4,0.25,0.1,"critical","0"
1,5,1774,"CHD",1,8,"P",1,"NEW",2,224,"Middle",0.041176471,0.777777778,"S",1,0.285714285714286,0.5,1,"small","0"
0,4,822,"PUBLIC",1,8,"O",0,"EXISTING",1,264,"Middle",0.058419244,0.944444444,"M-L",1,0.735294117647059,0.16,0.147058823529412,"safe","0"
0,5,2140,"PUBLIC",1,8,"L",0,"EXISTING",1,243,"Middle",0.104,0.896551724,"S",1,0.769230769230769,0.05,0.0769230769230769,"safe","0"
0,5,1728,"PUBLIC",1,8,"N",0,"EXISTING",2,272,"Middle",0.01221374,0.842105263,"L",1,0.75,0.583333333333333,0.625,"critical","0"
0,8,2070,"PUBLIC",1,8,"D",0,"EXISTING",1,177,"Middle",0.109517601,0.893617021,"M-L",1,0.642857142857143,0.203703703703704,0.119047619047619,"large","0"
0,5,1654,"PUBLIC",1,8,"Q",0,"EXISTING",2,265,"Middle",0.00810081,0.9,"L",1,0.888888888888889,0.5,0.333333333333333,"small","0"
0,5,2226,"PUBLIC",1,8,"F",0,"NEW",1,259,"Middle",0.025252525,0.833333333,"M-L",0,0.866666666666667,0.0769230769230769,0.4,"critical","0"
0,5,2114,"PUBLIC",1,9,"N",0,"NEW",1,257,"High",0.005633803,0.8,"M-L",1,1,1,2.75,"small","0"
0,5,2149,"Catholic",1,8,"L",0,"NEW",1,251,"Undefined",0.03,0.857142857,"S",0,0.666666666666667,0.5,0.333333333333333,"small","0"
0,5,1948,"PUBLIC",1,12,"K",0,"NEW",1,237,"Middle",0.013207547,0.875,"S-M",0,0.285714285714286,1,0.285714285714286,"small","0"
0,5,2226,"PUBLIC",1,12,"F",0,"NEW",1,230,"High",0.007050529,0.857142857,"L",0,0.333333333333333,0.5,0.333333333333333,"small","0"
1,5,2074,"PUBLIC",1,8,"",0,"EXISTING",1,224,"Middle",0.00862069,0.888888889,"",1,0.375,1.33333333333333,0.625,"small","0"
0,3,688,"PUBLIC",1,8,"D",0,"NEW",2,224,"Middle",0.03250478,0.944444444,"S-M",1,0.882352941176471,0.2,0.294117647058824,"critical","0"
0,5,1898,"PUBLIC",1,12,"H",0,"NEW",1,219,"High",0.026530612,0.928571429,"S-M",1,0.461538461538462,0,0,"critical","0"
0,5,1998,"PUBLIC",1,8,"I",0,"NEW",1,194,"Undefined",0.016666667,0.909090909,"M-L",1,0.5,0.4,0.5,"small","0"
0,4,1593,"PUBLIC",1,8,"K",0,"EXISTING",2,164,"Middle",0.005147059,0.875,"L",0,0.571428571428571,0.25,0.571428571428571,"small","0"
0,5,1788,"PUBLIC",1,8,"N",0,"EXISTING",1,175,"Middle",0.03142329,0.894736842,"S-M",0,0.588235294117647,0.1,0.117647058823529,"critical","0"
0,5,2006,"PUBLIC",1,8,"J",0,"NEW",1,196,"Middle",0.011148272,0.909090909,"L",0,0.8,0.375,0.8,"small","0"
0,5,2123,"PUBLIC",1,8,"K",1,"EXISTING",1,266,"Middle",0.04797048,0.886363636,"L",1,0.871794871794872,0.176470588235294,0.179487179487179,"large","0"
0,6,1572,"CHD",1,6,"J",0,"EXISTING",1,250,"Middle",0.186666667,0.961538462,"",1,0.2,0.2,0,"safe","0"
0,6,2400,"PUBLIC",1,8,"M",0,"EXISTING",1,272,"Middle",0.017333333,0.928571429,"M-L",1,0.538461538461538,0.285714285714286,0.230769230769231,"critical","1"
0,6,2475,"PUBLIC",0,8,"L",0,"EXISTING",0,250,"Middle",0.042471042,0.88,"S-M",1,0.363636363636364,0.125,0.181818181818182,"safe","0"
0,7,2819,"CHD",0,8,"Q",0,"EXISTING",0,218,"Middle",0.097014925,0.886363636,"S-M",1,0,NA,0.0256410256410256,"large","0"
0,2,615,"Private non-Christian",1,8,"M",1,"EXISTING",1,261,"Elementary",0.076595745,0.947368421,"S-M",1,0.555555555555556,0.2,0.0555555555555556,"large","0"
0,2,567,"PUBLIC",1,6,"M",1,"EXISTING",2,225,"Elementary",0.047738693,0.95,"S-M",0,0.263157894736842,0.2,0.157894736842105,"critical","0"
0,2,599,"PUBLIC",1,6,"M",1,"EXISTING",1,251,"Elementary",0.018987342,0.923076923,"M-L",0,0.333333333333333,0.5,0.25,"critical","0"
0,4,1508,"CHD",1,12,"",0,"EXISTING",1,186,"Middle",0.041333333,0.916666667,"",1,0.636363636363636,0.142857142857143,0.303030303030303,"safe","0"
0,2,554,"Private non-Christian",0,6,"J",1,"EXISTING",0,279,"Elementary",0.178403756,0.974358974,"S",1,0,NA,0.0789473684210526,"large","0"
0,3,1139,"PUBLIC",1,8,"P",0,"EXISTING",1,261,"Middle",0.035634744,0.914285714,"L",1,0.78125,0.08,0.09375,"safe","0"
0,3,1173,"PUBLIC",1,8,"J",0,"EXISTING",1,265,"Middle",0.090909091,0.90625,"S",1,0.586206896551724,0.411764705882353,0.275862068965517,"safe","0"
0,3,599,"PUBLIC",1,8,"Q",0,"EXISTING",2,219,"Middle",0.148148148,0.9,"S-M",1,0.513888888888889,0.135135135135135,0.0833333333333333,"large","1"
0,3,1366,"PUBLIC",1,8,"K",0,"NEW",1,260,"Middle",0.008389262,0.833333333,"M-L",0,0.8,0.5,0.6,"small","0"
0,3,1869,"PUBLIC",1,8,"L",0,"EXISTING",1,281,"Middle",0.007543103,0.875,"L",1,0.857142857142857,0,0,"small","1"
0,3,1478,"PUBLIC",1,12,"J",0,"NEW",2,246,"Middle",0.00877193,0.923076923,"L",0,0.666666666666667,0.5,0.333333333333333,"critical","0"
0,3,1067,"PUBLIC",1,8,"P",0,"EXISTING",1,253,"Middle",0.04125,0.916666667,"M-L",1,0.515151515151515,0.117647058823529,0.0909090909090909,"safe","0"
1,3,1315,"Private non-Christian",1,6,"P",0,"EXISTING",1,274,"Middle",0.027692308,0.9,"S",0,1,0.555555555555556,0.666666666666667,"small","0"
0,3,2042,"PUBLIC",1,8,"E",0,"EXISTING",1,261,"Middle",0.006,0.6,"S-M",1,1,0.333333333333333,1.33333333333333,"small","0"
0,6,2235,"PUBLIC",1,8,"P5",0,"EXISTING",1,157,"Elementary",0.031914894,0.891891892,"",1,0.636363636363636,0.0476190476190476,0.0606060606060606,"safe","1"
0,4,1591,"PUBLIC",1,8,"C",0,"EXISTING",1,193,"Middle",0.098562628,0.888888889,"S-M",1,0.5625,0.481481481481481,0.291666666666667,"large","0"
0,3,949,"PUBLIC",1,8,"M",0,"NEW",1,237,"Middle",0.049304678,0.928571429,"M-L",1,0.846153846153846,0.0909090909090909,0.102564102564103,"large","0"
0,3,769,"PUBLIC",0,8,"Q",0,"NEW",0,219,"Middle",0.182,0.928571429,"S-M",1,0.681318681318681,0.0483870967741935,0.043956043956044,"large","0"
0,3,999,"PUBLIC",0,8,"C",0,"NEW",0,247,"Middle",0.050531915,0.95,"S-M",0,0,NA,0.0526315789473684,"critical","0"
1,4,1399,"Catholic",1,8,"G",0,"EXISTING",1,261,"Middle",0.085766423,0.94,"S-M",0,0.808510638297872,0.0526315789473684,0.0425531914893617,"large","0"
0,4,1664,"PUBLIC",1,8,"P",0,"NEW",2,261,"Middle",0.026415094,0.933333333,"S-M",1,0.5,0.285714285714286,0.0714285714285714,"critical","0"
0,4,1388,"PUBLIC",1,8,"N",0,"EXISTING",1,281,"Middle",0.066666667,0.930232558,"M-L",1,0.675,0.185185185185185,0.15,"large","0"
1,4,1694,"CHD",1,8,"Z",0,"NEW",2,358,"Middle",0.128571429,0.9,"S",0,0.888888888888889,0.375,0.777777777777778,"small","0"
0,4,1631,"PUBLIC",1,8,"C",0,"EXISTING",1,274,"Middle",0.056155508,0.896551724,"S-M",1,0.769230769230769,0.45,0.423076923076923,"safe","1"
0,4,2331,"PUBLIC",1,12,"L",0,"NEW",2,224,"High",0.03125,0.8,"S",0,0.5,0,0.125,"small","0"
1,4,1520,"Catholic",1,8,"J",0,"EXISTING",2,259,"Middle",0.042307692,0.916666667,"M-L",0,0.666666666666667,0.0909090909090909,0.0303030303030303,"safe","0"
0,4,1508,"PUBLIC",1,8,"D",0,"EXISTING",1,187,"Middle",0.061277705,0.94,"M-L",1,0.680851063829787,0.3125,0.25531914893617,"large","1"
1,4,1599,"PUBLIC",0,8,"G",0,"EXISTING",0,249,"Middle",0.113207547,0.9,"S",1,0.555555555555556,0.5,0.444444444444444,"critical","0"
0,4,1498,"PUBLIC",1,8,"I",0,"NEW",1,231,"Middle",0.020952381,0.916666667,"S-M",0,0.727272727272727,0.875,0.636363636363636,"critical","0"
0,4,1631,"PUBLIC",1,8,"E",0,"NEW",1,202,"Middle",0.023199023,0.904761905,"L",1,0.526315789473684,0.1,0.157894736842105,"critical","0"
0,4,1648,"PUBLIC",1,12,"N",0,"NEW",2,260,"High",0.008571429,0.75,"S-M",0,1,0.333333333333333,1.66666666666667,"small","0"
0,4,1578,"PUBLIC",1,8,"A",0,"NEW",1,259,"Middle",0.007920792,0.8,"S-M",0,1,0.5,0.5,"small","0"
1,4,1815,"PUBLIC",1,8,"F",0,"EXISTING",1,266,"Middle",0.031372549,0.888888889,"S-M",1,0.75,0.333333333333333,0.5,"critical","1"
0,4,889,"PUBLIC",1,8,"F",0,"EXISTING",2,251,"Middle",0.045,0.9,"S",0,0.444444444444444,0,0.555555555555556,"small","0"
0,4,1790,"PUBLIC",1,8,"C",0,"NEW",2,259,"High",0.010940919,0.833333333,"S-M",0,1,0,0.2,"small","0"
0,4,1837,"PUBLIC",1,8,"O",0,"NEW",1,246,"Middle",0.015544041,0.923076923,"M-L",0,0.5,0.166666666666667,0.25,"critical","0"
0,4,1611,"PUBLIC",1,8,"N",0,"NEW",1,202,"Middle",0.014545455,0.888888889,"S-M",0,1,0.125,0.125,"small","0"
1,4,1718,"PUBLIC",1,8,"J",0,"EXISTING",1,161,"Middle",0.050526316,0.923076923,"S-M",0,0.666666666666667,0,0.0416666666666667,"safe","0"
0,5,1799,"PUBLIC",1,9,"E",0,"NEW",1,212,"Middle",0.025925926,0.823529412,"S-M",1,0.357142857142857,0.8,0.714285714285714,"critical","0"
1,5,2129,"PUBLIC",1,8,"J",0,"EXISTING",1,279,"Middle",0.123287671,0.9375,"S-M",0,0.733333333333333,0.0606060606060606,0.0666666666666667,"large","0"
0,5,1934,"Catholic",1,8,"I",0,"EXISTING",1,239,"Middle",0.006644518,0.666666667,"S",0,1,0.5,0.5,"small","0"
0,5,1917,"PUBLIC",1,8,"G",0,"EXISTING",1,250,"Middle",0.104615385,0.944444444,"S",1,0.558823529411765,0.105263157894737,0.147058823529412,"safe","1"
0,5,1979,"Private non-Christian",1,12,"I",0,"EXISTING",1,279,"Middle",0.033251232,0.931034483,"L",1,0.740740740740741,0.2,0.148148148148148,"safe","1"
0,5,2043,"Private non-Christian",0,12,"I",0,"EXISTING",0,168,"Middle",0.013013013,0.928571429,"L",1,0.846153846153846,0,0,"critical","0"
0,5,1957,"PUBLIC",1,8,"M",0,"EXISTING",1,252,"Middle",0.06097561,0.909090909,"S",1,0.3,0.666666666666667,0.2,"small","1"
0,5,759,"PUBLIC",1,8,"J",0,"EXISTING",1,254,"Middle",0.06851312,0.959183673,"M-L",1,0.723404255319149,0.205882352941176,0.148936170212766,"large","0"
1,5,1749,"PUBLIC",0,12,"D",0,"EXISTING",0,184,"High",0.232394366,0.942857143,"S",0,0.878787878787879,0.0689655172413793,0.0303030303030303,"safe","1"
0,5,1640,"Private non-Christian",1,8,"Q",0,"EXISTING",1,251,"Middle",0.071428571,0.894736842,"S",1,0.411764705882353,0,0,"critical","0"
1,4,1585,"PUBLIC",1,8,"L",0,"EXISTING",1,171,"Middle",0.041450777,0.914285714,"M-L",0,0.78125,0.16,0.1875,"safe","0"
1,5,1897,"PUBLIC",1,8,"G",0,"NEW",1,258,"High",0.08,0.941176471,"S",0,0.6875,0.0909090909090909,0.0625,"critical","0"
0,4,461,"PUBLIC",1,8,"L",0,"NEW",2,231,"Middle",0.234421365,0.951807229,"S",1,0.40506329113924,0.03125,0.0253164556962025,"large","0"
1,5,1879,"PUBLIC",1,8,"J",0,"EXISTING",1,260,"Middle",0.02238806,0.9,"M-L",0,0.666666666666667,0,0.0555555555555556,"critical","1"
0,5,469,"PUBLIC",1,12,"Z",0,"NEW",2,215,"Middle",0.029347826,0.931034483,"L",0,0.703703703703704,0.263157894736842,0.185185185185185,"safe","0"
0,5,1945,"PUBLIC",1,8,"J",0,"EXISTING",1,219,"Middle",0.062068966,0.9,"S",0,0.888888888888889,0.0625,0.166666666666667,"critical","0"
0,3,599,"PUBLIC",1,8,"K",0,"NEW",1,176,"Middle",0.04908377,0.852272727,"L",1,0.0133333333333333,0,0.04,"large","0"
0,5,1873,"Private non-Christian",0,8,"P",0,"EXISTING",0,273,"Middle",0.023529412,0.8,"S-M",1,0.25,0,0,"small","0"
1,5,2271,"PUBLIC",1,8,"M",0,"NEW",2,250,"Middle",0.007668712,0.833333333,"M-L",0,0.6,1,0.8,"small","0"
0,5,2004,"PUBLIC",1,8,"K",0,"NEW",2,247,"Middle",0.015189873,0.857142857,"S-M",0,0.666666666666667,0.5,0.333333333333333,"small","0"
0,5,2011,"PUBLIC",1,8,"M",0,"NEW",1,282,"Middle",0.020356234,0.888888889,"M-L",1,0.75,0.75,0.75,"critical","0"
0,4,1606,"PUBLIC",1,8,"I",0,"EXISTING",1,181,"Middle",0.014545455,0.888888889,"S-M",1,0.625,0.8,0.5,"small","0"
0,5,2124,"PUBLIC",0,8,"K",0,"EXISTING",0,274,"Middle",0.003472222,0.8,"L",0,0.5,0,0.5,"small","0"
0,5,1976,"PUBLIC",1,8,"N",0,"NEW",1,267,"Middle",0.01297765,0.9,"L",0,0.666666666666667,0.0833333333333333,0.222222222222222,"critical","0"
0,5,2008,"PUBLIC",1,8,"G",0,"EXISTING",1,252,"Middle",0.012605042,0.75,"S",0,1,0.666666666666667,1.33333333333333,"small","1"
0,5,2091,"PUBLIC",1,12,"D",0,"EXISTING",2,205,"Middle",0.006666667,0.8,"M-L",0,0.5,0.5,0.25,"small","0"
0,3,439,"PUBLIC",1,8,"J",0,"NEW",2,219,"Middle",0.036020583,0.913043478,"M-L",1,0.857142857142857,0,0,"safe","0"
0,4,489,"PUBLIC",1,8,"H",0,"NEW",1,239,"Middle",0.070663812,0.942857143,"S-M",1,0.757575757575758,0.12,0.0606060606060606,"safe","0"
0,5,1999,"PUBLIC",1,8,"D",0,"NEW",1,230,"Middle",0.012941176,0.846153846,"L",0,0.454545454545455,1.4,0.727272727272727,"critical","0"
0,5,749,"PUBLIC",1,8,"I",0,"NEW",1,218,"Middle",0.023529412,0.857142857,"S-M",0,0.0833333333333333,5,0.75,"critical","0"
0,3,489,"PUBLIC",1,8,"F",0,"NEW",1,181,"Undefined",0.130136986,0.95,"S",0,0.552631578947368,0.238095238095238,0.421052631578947,"large","0"
0,3,439,"PUBLIC",1,8,"C",0,"NEW",1,176,"Middle",0.161904762,0.904255319,"S-M",0,0.541176470588235,0.0652173913043478,0.0352941176470588,"large","0"
0,4,1508,"CHD",1,8,"H",0,"EXISTING",1,186,"Middle",0.024299065,0.947368421,"",1,0.611111111111111,0.0909090909090909,0.111111111111111,"critical","0"
0,5,730,"PUBLIC",0,8,"L",0,"EXISTING",0,167,"Undefined",0.096296296,0.951219512,"S-M",0,0.461538461538462,0.222222222222222,0.205128205128205,"large","0"
0,3,499,"PUBLIC",1,8,"M",0,"NEW",2,120,"Middle",0.034320323,0.944444444,"L",1,0.450980392156863,0,0,"large","0"
1,6,2099,"PUBLIC",1,12,"L",0,"EXISTING",2,273,"Middle",0.043297252,0.912280702,"L",0,0.846153846153846,0.181818181818182,0.173076923076923,"large","0"
1,6,1979,"PUBLIC",1,6,"Q",0,"EXISTING",2,272,"Middle",0.116915423,0.94,"S-M",0,0.382978723404255,0.111111111111111,0.0851063829787234,"large","0"
0,7,1219,"PUBLIC",1,8,"M",0,"EXISTING",1,252,"Middle",0.08190709,0.858974359,"L",1,0.865671641791045,0.103448275862069,0.0895522388059701,"large","1"
0,8,3074,"Private non-Christian",0,8,"Q",1,"EXISTING",0,228,"Middle",0.128125,0.911111111,"S",1,0,NA,0.024390243902439,"large","0"
0,10,3050,"CHD",1,8,"O",1,"EXISTING",1,260,"Undefined",0.1125,0.952941176,"M-L",1,0.592592592592593,0.25,0.111111111111111,"large","0"
0,1,79,"PUBLIC",1,8,"L",0,"NEW",1,253,"Middle",0.118790497,0.916666667,"L",1,0.118181818181818,0,0.0454545454545455,"large","0"
0,1,382,"PUBLIC",1,6,"O",1,"EXISTING",2,231,"Elementary",0.111344538,0.963636364,"S-M",1,0.528301886792453,0.0357142857142857,0.113207547169811,"large","0"
0,1,375,"Private non-Christian",0,5,"Q",0,"NEW",0,269,"Elementary",0.113333333,0.944444444,"S",0,0,NA,0,"critical","0"
0,4,1508,"CHD",1,8,"H",0,"EXISTING",1,186,"Middle",0.043909348,0.84375,"",1,0.481481481481481,0.230769230769231,0.148148148148148,"safe","0"
0,2,619,"PUBLIC",0,6,"Q",0,"EXISTING",0,191,"Elementary",0.102898551,0.97260274,"M-L",1,0.436619718309859,0.290322580645161,0.169014084507042,"large","1"
0,2,349,"PUBLIC",1,8,"O",0,"NEW",1,225,"Undefined",0.281531532,0.899280576,"S-M",1,0.568,0.225352112676056,0.152,"large","0"
0,2,592,"PUBLIC",0,8,"Q",0,"EXISTING",0,395,"Elementary",0.047142857,0.970588235,"M-L",0,0.303030303030303,0.2,0.121212121212121,"safe","0"
0,3,1249,"PUBLIC",1,8,"I",0,"EXISTING",1,262,"Middle",0.031111111,0.875,"L",1,0.678571428571429,0,0.0714285714285714,"safe","0"
0,3,1129,"PUBLIC",1,8,"E",0,"NEW",1,245,"Middle",0.045908184,0.884615385,"S-M",0,0.869565217391304,0.1,0.260869565217391,"safe","0"
0,3,389,"PUBLIC",1,8,"I",0,"NEW",1,204,"Undefined",0.018648019,0.941176471,"L",0,0.5625,0.444444444444444,0.375,"critical","0"
0,4,1530,"PUBLIC",1,8,"Q",0,"EXISTING",1,227,"Middle",0.011969532,0.916666667,"L",0,0.909090909090909,0,0,"critical","0"
0,4,1448,"PUBLIC",1,8,"Q",0,"EXISTING",1,253,"Middle",0.06015891,0.883333333,"L",1,0.716981132075472,0.0789473684210526,0.0566037735849057,"large","0"
0,4,1432,"PUBLIC",1,8,"L",0,"EXISTING",2,267,"Middle",0.041832669,0.875,"S-M",1,0.476190476190476,0,0,"safe","0"
0,4,2082,"PUBLIC",1,12,"G",0,"NEW",1,246,"High",0.0575,0.884615385,"S-M",0,0.782608695652174,0.0555555555555556,0.0869565217391304,"safe","0"
0,4,1520,"CHD",0,12,"N",0,"EXISTING",0,269,"Middle",0.073333333,0.948275862,"M-L",1,0.818181818181818,0.0666666666666667,0.0909090909090909,"large","1"
0,4,1469,"PUBLIC",1,8,"K",0,"EXISTING",1,266,"Middle",0.056603774,0.923076923,"S-M",1,0.458333333333333,0.181818181818182,0.125,"safe","0"
0,4,1545,"PUBLIC",0,8,"I",0,"EXISTING",0,274,"Middle",0.019736842,0.923076923,"M-L",1,1,0.666666666666667,0.75,"critical","0"
1,4,1510,"PUBLIC",1,8,"E",0,"NEW",1,273,"Middle",0.091891892,0.894736842,"S",0,0.588235294117647,0.1,0.117647058823529,"critical","0"
1,4,1399,"PUBLIC",1,8,"P",0,"EXISTING",1,252,"Middle",0.051557465,0.923076923,"L",1,0.791666666666667,0.0526315789473684,0.104166666666667,"large","0"
0,4,1720,"PUBLIC",1,6,"O",0,"EXISTING",1,227,"Middle",0.024193548,0.923076923,"S-M",0,0.666666666666667,0.125,0.0833333333333333,"critical","0"
0,4,1398,"PUBLIC",0,12,"M",0,"EXISTING",0,215,"Middle",0.045283019,0.923076923,"S-M",0,0,NA,0.0833333333333333,"safe","0"
0,4,1442,"PUBLIC",1,8,"F",0,"NEW",1,247,"Middle",0.00618047,0.833333333,"M-L",0,0.2,1,1.2,"small","0"
0,5,1999,"PUBLIC",1,8,"G",0,"NEW",1,231,"Middle",0.015384615,0.833333333,"M-L",0,0.7,0.571428571428571,0.5,"small","0"
0,5,1777,"PUBLIC",1,6,"E",0,"EXISTING",2,261,"Middle",0.0525,0.954545455,"S-M",0,0.80952380952381,0.176470588235294,0.19047619047619,"safe","0"
1,3,839,"PUBLIC",1,12,"L",0,"NEW",2,210,"High",0.110375276,0.892857143,"S-M",0,0.4,0.3,0.18,"large","0"
0,4,1577,"PUBLIC",1,8,"Q",0,"EXISTING",2,166,"Middle",0.006337136,0.833333333,"M-L",1,0.8,0.5,0.6,"small","0"
1,5,1101,"PUBLIC",1,8,"E",0,"EXISTING",1,274,"Middle",0.062068966,0.9,"S",0,0.611111111111111,0.0909090909090909,0.0555555555555556,"critical","0"
0,1,408,"PUBLIC",1,5,"F",1,"NEW",2,267,"Elementary",0.055555556,0.961538462,"L",0,0.02,1,0.12,"large","0"
0,1,409,"PUBLIC",1,5,"L",1,"EXISTING",1,233,"Elementary",0.055284553,0.971428571,"M-L",1,0.735294117647059,0.08,0.0588235294117647,"safe","0"
0,1,394,"PUBLIC",0,5,"Q",1,"EXISTING",0,207,"Elementary",0.095588235,0.962962963,"S",1,0.307692307692308,0.375,0.115384615384615,"safe","0"
0,1,409,"PUBLIC",1,5,"L",1,"EXISTING",1,233,"Elementary",0.050406504,0.96875,"M-L",1,0.709677419354839,0.0909090909090909,0.032258064516129,"safe","0"
0,1,119,"PUBLIC",1,8,"F",0,"NEW",1,78,"Undefined",0.092307692,0.909090909,"L",0,0.191666666666667,0.0434782608695652,0.0333333333333333,"large","0"
0,3,1194,"PUBLIC",1,8,"G",0,"EXISTING",1,260,"Middle",0.052505967,0.956521739,"S-M",1,0.727272727272727,0.0625,0.0454545454545455,"safe","0"
0,3,984,"PUBLIC",0,8,"K",0,"EXISTING",0,208,"Middle",0.089955022,0.895522388,"M-L",1,0.6,0.0833333333333333,0.1,"large","1"
0,3,1143,"PUBLIC",1,8,"F",0,"NEW",1,256,"Middle",0.01875,0.857142857,"S",0,0.666666666666667,0,0.166666666666667,"small","0"
0,3,999,"PUBLIC",0,8,"B",0,"NEW",0,188,"Middle",0.058956916,0.838709677,"S-M",1,0.730769230769231,0.0526315789473684,0.0384615384615385,"safe","0"
0,4,1336,"PUBLIC",1,8,"O",0,"EXISTING",2,199,"Middle",0.015625,0.903225806,"L",1,0.75,0.285714285714286,0.25,"safe","0"
0,3,409,"CHD",0,8,"",0,"EXISTING",0,162,"Undefined",0.0802213,0.911111111,"",1,0,NA,0.024390243902439,"large","0"
0,3,440,"CHD",0,12,"",0,"EXISTING",0,266,"Undefined",0.127777778,0.888888889,"",1,0,NA,0.075,"large","0"
0,4,1727,"PUBLIC",1,8,"H",0,"NEW",2,218,"Middle",0.008032129,0.857142857,"M-L",1,0.833333333333333,0,0,"small","0"
0,4,1699,"PUBLIC",1,8,"L",0,"NEW",1,239,"Middle",0.082857143,0.90625,"S-M",0,0.758620689655172,0.0909090909090909,0.0689655172413793,"safe","0"
0,4,1169,"PUBLIC",0,8,"I",0,"NEW",0,205,"Middle",0.126315789,0.911392405,"S-M",1,0.791666666666667,0.0350877192982456,0.0972222222222222,"large","0"
0,3,499,"PUBLIC",1,8,"M",0,"NEW",1,248,"Middle",0.074249605,0.921568627,"M-L",1,0.574468085106383,0.111111111111111,0.0638297872340425,"large","0"
0,5,1715,"PUBLIC",1,8,"I",0,"EXISTING",1,303,"Middle",0.030131827,0.941176471,"S-M",1,0.8125,0.153846153846154,0.25,"critical","0"
0,5,449,"PUBLIC",1,12,"H",0,"NEW",2,254,"Middle",0.091666667,0.964912281,"M-L",0,0.727272727272727,0.175,0.145454545454545,"large","0"
0,5,449,"PUBLIC",0,12,"F",0,"NEW",0,272,"Middle",0.041666667,0.9375,"S-M",1,0.666666666666667,0,0.0666666666666667,"critical","0"
0,6,1846,"PUBLIC",1,8,"Z",0,"EXISTING",1,247,"Middle",0.149090909,0.953488372,"S",1,0.414634146341463,0,0,"large","0"
0,5,1830,"PUBLIC",1,8,"I",0,"EXISTING",2,158,"Middle",0.039840637,0.909090909,"M-L",1,0.733333333333333,0.0454545454545455,0.133333333333333,"safe","0"
0,4,1508,"PUBLIC",1,8,"C",0,"EXISTING",1,186,"Middle",0.051396648,0.93877551,"L",1,0.652173913043478,0.4,0.282608695652174,"large","0"
1,6,1999,"PUBLIC",1,8,"L",0,"NEW",1,267,"Middle",0.2,0.875,"S",0,0.285714285714286,0.5,0.214285714285714,"critical","0"
0,8,2699,"PUBLIC",0,12,"I",0,"NEW",0,274,"High",0.017699115,0.909090909,"S-M",0,0.6,0,0,"small","0"
0,8,2459,"PUBLIC",1,8,"Q",0,"EXISTING",1,275,"Middle",0.018333333,0.916666667,"M-L",1,0.181818181818182,0,0,"critical","0"
0,1,398,"PUBLIC",1,5,"P",1,"EXISTING",1,241,"Elementary",0.082405345,0.973684211,"S-M",1,0.405405405405405,0.133333333333333,0.0540540540540541,"large","0"
0,3,1318,"PUBLIC",1,12,"C",0,"EXISTING",1,275,"High",0.028301887,0.882352941,"S-M",1,0.866666666666667,0.153846153846154,0.4,"critical","0"
0,3,383,"PUBLIC",1,6,"H",0,"NEW",1,137,"Middle",0.104444444,0.935064935,"",0,0.527777777777778,0.0789473684210526,0.0833333333333333,"large","0"
0,4,1626,"PUBLIC",1,8,"K",0,"EXISTING",1,261,"Middle",0.083636364,0.884615385,"S",1,0.826086956521739,0.210526315789474,0.130434782608696,"safe","0"
0,4,1843,"PUBLIC",1,8,"J",0,"EXISTING",1,270,"Middle",0.014545455,0.888888889,"S-M",1,0.5,0.5,0.5,"small","0"
0,4,1519,"PUBLIC",1,8,"J",0,"EXISTING",1,275,"Middle",0.151219512,0.939393939,"S-M",1,0.516129032258065,0.1875,0.112903225806452,"large","0"
1,4,1868,"PUBLIC",1,6,"J",0,"EXISTING",2,263,"Elementary",0.03514377,0.846153846,"M-L",0,0.681818181818182,0.0666666666666667,0.0909090909090909,"safe","0"
0,4,1600,"CHD",1,8,"",0,"NEW",2,151,"Middle",0.0015,0.888888889,"",1,0.5,0,0,"small","0"
0,4,578,"Catholic",1,8,"N",0,"NEW",1,389,"Middle",0.043902439,0.9,"S",0,0.666666666666667,0.666666666666667,0,"small","0"
0,4,1674,"PUBLIC",0,8,"Q",0,"EXISTING",0,266,"Middle",0.014569536,0.846153846,"M-L",1,0.454545454545455,0.4,0.181818181818182,"critical","0"
0,4,1752,"PUBLIC",1,8,"Q",0,"NEW",2,208,"Undefined",0.004545455,0.8,"L",1,0,Inf,0.25,"small","0"
0,5,1816,"PUBLIC",1,8,"L",0,"NEW",2,278,"High",0.029689609,0.88,"M-L",0,0.909090909090909,0.05,0.272727272727273,"safe","0"
0,5,1744,"Catholic",1,8,"E",0,"EXISTING",2,248,"Middle",0.070224719,0.961538462,"S-M",1,0.84,0.19047619047619,0.24,"safe","0"
1,5,2049,"PUBLIC",1,8,"H",0,"EXISTING",1,264,"Middle",0.039387309,0.9,"S-M",0,0.555555555555556,0.2,0.166666666666667,"critical","0"
